code;name
ICC422;TÓPICOS ESPECIAIS EM INTERAÇÃO HUMANO-COMPUTADOR
ICC423;TÓPICOS AVANÇADOS EM INTERAÇÃO HUMANO-COMPUTADOR
ICC424; I II
ICC425;TÓPICOS AVANÇADOS EM ENGENHARIA DE SOFTWARE II
ICC500;INTRODUÇÃO À OTIMIZAÇÃO COMBINATÓRIA
ICC501;SIMULAÇÃO DE EVENTOS DISCRETOS
ICC521;TÓPICOS AVANÇADOS EM OTIMIZAÇÃO
ICC020;INTRODUÇAO A PROGRAMAÇÃO
ICC120;MATEMÁTICA DISCRETA
ICC411;FUNDAMENTOS DA ENGENHARIA DE SOFTWARE
IEM012;ÁLGEBRA LINEAR I
IHE130;INGLÊS INSTRUMENTAL I
FAA011;INTRODUÇÃO À ADMINISTRAÇÃO
ICC002;ALGORITMOS E ESTRUTURA DE DADOS I
ICC011;LABORATÓRIO DE PROGRAMAÇÃO A
IEM022;ÁLGEBRA LINEAR II
IEM075;CÁLCULO DIFERENCIAL E INTEGRAL I
ICC003;ALGORITMOS E ESTRUTURAS DE DADOS II
ICC014;LABORATÓRIO DE PROGRAMAÇÃO AVANÇADA
ICC066;INTRODUÇÃO A ORGANIZAÇÃO DE COMPUTADORES
IEE001;PROBABILIDADE E ESTATISTICA
IEM076;CÁLCULO DIFERENCIAL E INTEGRAL II
ICC043;PARADIGMA DE LINGUAGENS DE PROGRAMAÇÃO
ICC065;SISTEMAS OPERACIONAIS I
ICC205;INTRODUÇÃO A BANCO DE DADOS
ICC406;INTERAÇÃO HUMANO-COMPUTADOR
ICC412;PROCESSO DE DESENVOLVIMENTO DE SOFTWARE
ICC007;PROGRAMAÇÃO PARA WEB
ICC104;INFORMÁTICA, ÉTICA E SOCIEDADE
ICC309;REDES DE COMPUTADORES
ICC413;ENGENHARIA DE REQUISITOS E ANÁLISE DE SISTEMAS
ICC414;VERIFICAÇÃO, VALIDAÇÃO E TESTE DE SOFTWARE
FAE101;INTRODUCÃO À ECONOMIA A
ICC006;PROJETO E ANÁLISE DE ALGORITMOS
ICC313;AUDITORIA E SEGURANÇA DE SISTEMAS
ICC404;GERÊNCIA DE PROJETOS
ICC415;PROJETO E ARQUITETURA DE SISTEMAS
ICC113;EMPREENDEDORISMO EM TECNOLOGIA DA INFORMAÇÃO
ICC210;PRÁTICA EM BANCO DE DADOS
ICC416;PRÁTICA EM ENGENHARIA DE SOFTWARE
ICC417;GERÊNCIA DE CONFIGURAÇÃO
ICC420;TÓPICOS ESPECIAIS EM ENGENHARIA DE SOFTWARE I
ICC150;TRABALHO DE CONCLUSÃO DE CURSO
ICC151;ESTÁGIO SUPERVISIONADO
FAA085;COMPORTAMENTO HUMANO NAS ORGANIZAÇÕES
FAA112;ESTRATÉGIA ORGANIZACIONAL
ICC122;ESTATÍSTICA COMPUTACIONAL
IEM772;MATEMÁTICA BÁSICA
IHP123;LINGUA BRASILEIRA DE SINAIS B
