code;name
ICC470;TÓPICOS ESPECIAIS EM VISÃO COMPUTACIONAL E ROBÓTICA 
ICC471;TÓPICOS AVANÇADOS EM VISÃO COMPUTACIONAL E ROBÓTICA 
ICC500;INTRODUÇÃO À OTIMIZAÇÃO COMBINATÓRIA
ICC501;SIMULAÇÃO DE EVENTOS DISCRETOS
ICC502;INTRODUÇÃO A PESQUISA OPERACIONAL
ICC520;TÓPICOS ESPECIAIS EM OTIMIZAÇÃO
ICC521;TÓPICOS AVANÇADOS EM OTIMIZAÇÃO
ICC550;TÓPICOS ESPECIAIS EM PESQUISA EM EDUCAÇÃO EM COMPUTAÇÃO I
ICC551;TÓPICOS ESPECIAIS EM PESQUISA EM EDUCAÇÃO EM COMPUTAÇÃO II
ICC001;INTRODUÇÃO À COMPUTAÇÃO
ICC110;TEXTOS TÉCNICOS EM CIÊNCIA DA COMPUTAÇÃO
ICC111;SEMINÁRIOS EM COMPUTAÇÃO
ICC120;MATEMÁTICA DISCRETA
IEM012;ÁLGEBRA LINEAR I
IEM075;CÁLCULO DIFERENCIAL E INTEGRAL I
ICC002;ALGORITMOS E ESTRUTURA DE DADOS I
ICC040;LINGUAGENS FORMAIS E AUTÔMATOS
ICC060;SISTEMAS LÓGICOS
IEM022;ÁLGEBRA LINEAR II
IEM076;CÁLCULO DIFERENCIAL E INTEGRAL II
IHE130;INGLÊS INSTRUMENTAL I
ICC003;ALGORITMOS E ESTRUTURAS DE DADOS II
ICC061;ORGANIZAÇÃO DE COMPUTADORES
ICC102;METODOLOGIA CIENTÍFICA EM CIÊNCIA DA COMPUTAÇÃO
ICC121;COMPUTAÇÃO NUMÉRICA
IEF028;FÍSICA I E
IEF029;LABORATÓRIO DE FISICA I E
ICC025;TÉCNICAS AVANÇADAS DE PROGRAMAÇÃO
ICC043;PARADIGMA DE LINGUAGENS DE PROGRAMAÇÃO
ICC062;ARQUITETURA DE COMPUTADORES
ICC309;REDES DE COMPUTADORES
IEE001;PROBABILIDADE E ESTATISTICA
ICC006;PROJETO E ANÁLISE DE ALGORITMOS
ICC014;LABORATÓRIO DE PROGRAMAÇÃO AVANÇADA
ICC044;COMPILADORES
ICC065;SISTEMAS OPERACIONAIS I
ICC400;INTRODUÇÃO À ENGENHARIA DE SOFTWARE
ICC041;INTRODUÇÃO À TEORIA DOS GRAFOS
ICC200;BANCOS DE DADOS I
ICC265;INTELIGÊNCIA ARTIFICIAL
ICC401;ANÁLISE E PROJETO DE SISTEMAS
ICC450;INTRODUÇÃO À COMPUTAÇÃO GRÁFICA
FAA011;INTRODUÇÃO À ADMINISTRAÇÃO
ICC007;PROGRAMAÇÃO PARA WEB
ICC305;AVALIAÇÃO DE DESEMPENHO
ICC315;SISTEMAS DISTRIBUÍDOS I
ICC406;INTERAÇÃO HUMANO-COMPUTADOR
ICC104;INFORMÁTICA, ÉTICA E SOCIEDADE
ICC113;EMPREENDEDORISMO EM TECNOLOGIA DA INFORMAÇÃO
ICC150;TRABALHO DE CONCLUSÃO DE CURSO
